x,y,z,theta,dist_l,conf_l,dist_r,conf_r
2836.56030273, 3480.1550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.60111969, 3480.2550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.64193664, 3480.3550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.6827536, 3480.4550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.72357055, 3480.5550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.76438751, 3480.6550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.80520446, 3480.7550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.84602142, 3480.8550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.88683837, 3480.9550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.92765533, 3481.0550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2836.96847228, 3481.1550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.00928924, 3481.2550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.05010619, 3481.3550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.09092315, 3481.4550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.1317401, 3481.5550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.17255705, 3481.6550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.21337401, 3481.7550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.25419096, 3481.8550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.29500792, 3481.9550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.33582487, 3482.0550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.37664183, 3482.1550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.41745878, 3482.2550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.45827574, 3482.3550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.49909269, 3482.4550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.53990965, 3482.5550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.5807266, 3482.6550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.62154356, 3482.7550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.66236051, 3482.8550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
2837.70317747, 3482.9550293, 0.0, 1.18326713668, 2.80006079674, -1, 2.80006079674, -1
